#,Player,Position,Team,ESPN,Sleeper,Yahoo,CBS,RTSports,Underdog,Guillotine,FFPC,NFFC,SuperFlex
1,Jahmyr Gibbs,RB,DET,1.60 (0.20),1.60,1.60 (0.10),,1.24 (0.22),1.10,1.26,1.26 (-0.03),1.59 (0.02),1.45 (-0.02)
2,Bijan Robinson,RB,ATL,2.60 (0.10),1.80,1.80 (-0.10),,1.81 (-0.23),2.00,1.88 (0.04),2.17 (0.05),1.64 (-0.01),2.75 (0.04)
3,Ja'Marr Chase,WR,CIN,4.70 (-0.10),3.40,3.30 (-0.10),,3.14 (0.21),3.10,3.37 (-0.07),3.57 (-0.04),3.21,4.44 (-0.12)
4,Puka Nacua,WR,LA,3.80 (-0.10),4.90,4.50,,4.12 (0.03),4.10 (-0.10),4.08 (-0.11),4.48 (0.03),4.44 (0.01),5.62 (-0.24)
5,Christian McCaffrey,RB,SF,6.60 (-0.20),5.00,5.50,,5.50 (-0.38),6.20 (-0.10),5.58 (0.24),6.81 (-0.28),6.63 (-0.04),8.60 (-0.40)
6,Jaxon Smith-Njigba,WR,SEA,5.80,5.40,6.40 (-0.30),,6.07 (0.12),5.60 (-0.10),6.03 (-0.31),7.80 (-0.19),5.82 (-0.06),10.33 (0.33)
7,Jonathan Taylor,RB,IND,8.10 (0.10),7.70,7.10,,8.19 (0.27),7.80 (0.30),7.27 (0.21),9.69 (0.45),8.44 (-0.04),12.72 (0.39)
8,Amon-Ra St. Brown,WR,DET,8.30,8.10,8.30 (0.30),,7.64 (0.55),7.10,7.94 (0.11),8.55 (0.62),7.53 (0.08),11.53 (1.47)
9,James Cook,RB,BUF,13.00 (0.60),12.70,9.90,,9.50 (0.69),10.40 (1.10),9.64 (0.13),12.51 (0.45),11.45 (0.09),16.04 (0.59)
10,CeeDee Lamb,WR,DAL,10.60,10.60,10.10 (-0.30),,14.52 (0.29),9.70 (-0.10),11.73 (0.20),16.08 (0.07),11.68 (0.05),21.05 (1.22)
11,Justin Jefferson,WR,MIN,12.20 (-0.20),12.40,12.30 (-0.10),,11.50 (-1.00),10.80 (-0.70),13.80 (-0.15),16.32 (-0.50),12.61 (0.04),22.98 (-1.38)
12,Saquon Barkley,RB,PHI,17.00 (0.10),16.60,12.90 (0.50),,15.67 (0.48),13.60 (-0.10),12.69 (0.11),19.87 (-0.11),17.76 (0.12),23.71 (0.44)
13,Ashton Jeanty,RB,LV,17.90 (-0.20),15.40,13.70 (-0.40),,9.52 (-1.17),12.10 (-0.70),10.49 (-0.07),12.24 (-0.29),10.57 (0.16),15.98 (-0.61)
14,De'Von Achane,RB,MIA,12.40,12.50,15.80 (-0.40),,14.48 (-0.63),17.90 (0.10),13.97 (-0.49),21.06 (-0.44),14.93 (-0.43),27.87 (-1.74)
15,Chase Brown,RB,CIN,26.20 (0.20),19.00,16.80 (0.10),,13.69 (0.54),15.20 (0.90),16.68 (0.35),16.97 (1.48),15.34 (0.21),22.24 (3.48)
16,Kenneth Walker,RB,KC,24.80 (1.50),22.90,18.00 (1.10),,16.52 (0.06),15.00 (0.20),16.53 (0.19),20.12 (1.15),19.31 (0.26),27.05 (1.45)
17,Drake London,WR,ATL,18.90 (0.50),14.10,18.00 (-0.60),,18.90 (0.33),21.20 (-0.40),20.58 (-0.25),26.07 (-0.18),18.83 (-0.08),34.71 (0.63)
18,Omarion Hampton,RB,LAC,22.00 (-0.50),18.80,18.40 (0.20),,13.33 (-0.56),15.20 (-0.60),16.29 (0.26),16.55 (-0.53),14.39 (0.08),20.45 (-0.54)
19,Derrick Henry,RB,BAL,20.90 (-0.10),24.60,18.40 (0.40),,22.29 (1.17),17.10 (0.30),19.19 (-0.14),25.22 (0.20),23.35 (0.09),32.30 (0.70)
20,Josh Allen,QB,BUF,22.50 (0.10),28.20,19.50 (-0.20),,32.10 (2.75),36.20 (-0.80),17.69 (-0.29),22.04 (0.64),28.06 (-0.32),2.14 (-0.05)
21,Brock Bowers,TE,LV,23.70 (-0.20),20.20,20.80 (-0.60),,22.88 (-0.42),19.90,20.10 (0.07),8.76 (-0.14),22.05 (0.26),9.99 (-0.43)
22,Nico Collins,WR,HOU,27.80,25.20,21.80 (-0.40),,25.50 (-0.19),22.90 (-0.20),23.62 (0.06),30.89 (-0.24),24.82,41.70 (-0.24)
23,George Pickens,WR,DAL,28.10 (0.10),23.10,22.30 (0.10),,24.67 (0.37),23.50 (0.10),28.46 (-0.27),33.49 (-0.27),25.11 (0.10),44.92 (-0.15)
24,Trey McBride,TE,ARI,19.50 (-0.70),18.70,24.40 (-0.50),,24.36 (-0.55),29.30 (-0.40),26.05 (0.47),17.52 (-0.50),23.53 (-0.69),18.71 (-0.89)
25,A.J. Brown,WR,NE,27.20 (-0.40),19.40,25.40 (0.70),,19.50 (-1.19),18.90 (-0.30),21.55 (-0.05),24.15 (-0.03),23.71 (0.88),31.17 (1.11)
26,Jeremiyah Love,RB,ARI,19.40 (-0.60),19.70,27.10 (-0.20),,27.90 (-2.09),26.90 (-0.50),26.41 (-0.44),31.69 (-1.09),25.69 (-0.70),39.81 (-1.42)
27,DeVonta Smith,WR,PHI,39.40 (-0.90),44.90,29.40 (0.10),,33.48 (-0.21),27.60 (-0.30),29.41 (-0.48),40.48 (-2.14),35.35 (0.69),54.42 (-2.66)
28,Kyren Williams,RB,LA,42.50 (-1.30),32.20,29.60 (0.40),,34.02 (-0.98),32.50 (-0.50),27.26 (-0.34),38.25 (0.06),32.93 (-0.29),51.02 (-0.28)
29,Josh Jacobs,RB,GB,28.50 (-1.00),27.60,31.50 (-1.00),,31.60 (-0.37),40.80,30.43 (0.04),43.16 (-1.44),37.38 (-0.92),54.10 (-0.37)
30,Chris Olave,WR,NO,35.40,26.40,32.50 (-0.40),,24.02 (2.44),31.20 (-1.30),32.16 (-0.53),37.24 (0.22),29.35 (0.12),52.16 (-1.84)
31,Rashee Rice,WR,KC,22.60 (-0.50),22.70,32.80,,28.45 (-2.33),26.10 (-1.00),34.60 (0.30),32.25 (-1.08),28.37 (0.08),43.54 (-1.49)
32,Tee Higgins,WR,CIN,58.00 (-1.10),35.50,33.40 (0.60),,45.31 (-1.08),35.00 (-1.10),44.80 (-0.60),50.01 (-0.03),37.76 (0.12),64.13 (-1.67)
33,Javonte Williams,RB,DAL,38.90 (-0.70),38.30,34.90 (0.10),,28.76 (0.66),35.40 (0.90),25.02 (0.18),40.77 (0.55),35.79 (-0.11),53.38 (0.86)
34,Malik Nabers,WR,NYG,38.00 (3.10),25.20 (2.10),35.30 (0.30),,27.74 (6.45),24.00 (4.70),46.85 (3.37),34.04 (3.86),33.42 (0.52),44.89 (3.78)
35,Lamar Jackson,QB,BAL,39.20 (0.80),37.90,36.30 (-1.30),,63.00 (3.19),56.80 (-1.70),35.18 (-1.23),42.89 (0.45),54.88 (-1.04),6.31 (-0.16)
36,Breece Hall,RB,NYJ,38.50 (-2.60),32.30,37.00 (0.80),,31.07 (-2.15),29.00 (0.30),32.36 (0.05),35.58 (-0.93),33.01 (-0.09),45.50 (0.48)
37,Zay Flowers,WR,BAL,42.40 (0.90),43.80,38.70 (1.40),,32.26 (1.09),30.50 (0.40),41.15 (1.26),42.72 (1.00),36.68 (0.69),56.48 (0.01)
38,Colston Loveland,TE,CHI,45.40 (0.10),38.30 (2.90),39.30 (-0.30),,49.05 (1.33),44.10 (2.20),42.12 (0.86),27.22 (-0.21),45.92 (0.07),33.11 (0.15)
39,Tetairoa McMillan,WR,CAR,41.20 (-0.60),37.30,41.00 (-1.20),,42.88 (-0.69),39.40 (-0.60),43.84 (-1.20),53.68 (-0.63),36.67 (-0.15),71.98 (-1.41)
40,Cam Skattebo,RB,NYG,43.00 (0.20),48.70,41.10 (0.30),,34.50 (-3.88),43.60 (0.30),36.65 (0.33),42.71 (0.35),46.14 (0.01),54.26 (0.91)
41,Travis Etienne,RB,NO,50.10 (-1.50),42.20 (-5.50),42.90 (-0.60),,40.64 (-2.56),42.30 (-2.70),36.61 (0.02),49.67 (-1.17),39.95 (-1.15),63.52 (-2.28)
42,Emeka Egbuka,WR,TB,44.60 (-2.20),45.80,44.00 (2.00),,33.52 (0.63),31.00 (1.00),33.57 (0.45),41.41 (0.70),38.25 (1.28),56.26 (-0.28)
43,Jaylen Waddle,WR,DEN,60.50 (-1.00),46.20,44.50 (0.90),,47.55 (-1.67),38.20 (2.10),49.77 (0.21),52.17 (0.09),46.77 (0.89),68.22 (-1.45)
44,Ladd McConkey,WR,LAC,52.80 (0.60),41.90,46.00,,39.69 (1.81),33.90 (0.90),46.77 (1.04),47.58 (1.02),40.66 (0.43),61.57 (-0.33)
45,Joe Burrow,QB,CIN,59.90 (0.10),55.50 (1.60),46.90 (-1.50),,79.67 (-1.90),68.60 (-0.40),53.23 (-1.25),53.77 (-0.60),54.86 (-0.73),13.60 (-0.80)
46,Drake Maye,QB,NE,47.90 (-0.30),51.20,47.10 (-0.80),,79.05 (-0.93),67.20 (-0.70),47.39 (-1.54),48.98 (-0.58),56.46 (-0.89),7.65 (0.35)
47,Tyler Warren,TE,IND,47.10 (-0.10),50.10,47.80 (0.70),,58.38 (1.47),62.80 (1.00),50.99 (0.25),37.60 (0.05),60.61 (0.48),45.53 (0.26)
48,Garrett Wilson,WR,NYJ,36.30 (-0.70),40.90,48.50 (-0.80),,41.76 (0.97),39.90,40.93 (-0.96),49.26 (-0.11),38.85 (0.05),67.17 (-0.68)
49,D'Andre Swift,RB,CHI,72.60 (-0.60),65.10,49.40 (0.60),,51.98 (0.25),48.20 (1.90),43.82 (0.06),53.56 (0.13),54.61 (0.01),66.54 (0.09)
50,Davante Adams,WR,LA,47.40 (-0.80),46.90,50.20 (-1.00),,59.52 (-2.25),51.60 (-0.70),55.04 (-0.33),64.63 (0.13),51.79 (-0.05),82.70 (-0.13)
51,Bucky Irving,RB,TB,56.00 (-0.60),34.40,52.90 (-1.40),,46.31 (3.88),54.20 (1.50),48.71 (-0.35),60.55 (1.45),53.42 (-1.14),77.15 (1.37)
52,Quinshon Judkins,RB,CLE,54.80 (-1.60),55.00,53.20 (0.40),,43.00 (-1.27),52.90 (0.60),45.40 (1.01),55.91 (-0.85),53.64 (-0.11),73.04 (-1.38)
53,Jayden Daniels,QB,WAS,51.10 (0.80),62.10,53.50 (-0.50),,85.95 (-1.03),68.30 (-0.70),62.67 (-0.94),58.65 (-0.93),71.47 (-0.99),12.71 (-0.82)
54,David Montgomery,RB,HOU,75.70 (-1.30),56.30,53.60 (1.00),,47.33 (-1.71),47.40 (1.10),39.44 (0.09),56.58 (0.30),51.56 (0.20),71.41 (1.21)
55,Terry McLaurin,WR,WAS,62.10 (-1.10),56.60,54.30 (0.50),,52.31 (-2.27),46.90 (-2.80),57.62 (0.35),60.09 (-2.30),49.73 (0.36),78.03 (-2.59)
56,Jalen Hurts,QB,PHI,53.70 (0.50),67.20,56.50 (-0.30),,91.64 (-1.26),72.20 (-0.70),66.86 (-0.89),65.69 (-1.33),78.73 (-1.31),18.03 (-0.29)
57,Luther Burden,WR,CHI,77.20 (-0.20),41.10,58.00,,44.05 (0.95),45.90 (-1.60),55.59 (0.63),57.07 (0.16),45.27 (0.07),72.32 (-0.43)
58,TreVeyon Henderson,RB,NE,71.40 (-2.40),47.80,59.80 (-1.90),,49.95 (-0.60),56.10 (-2.90),53.61 (-1.83),63.20 (-2.01),50.75 (-0.65),78.79 (-1.30)
59,Tucker Kraft,TE,GB,100.30 (4.40),67.30,61.20 (-0.50),,79.98 (5.17),78.50 (1.40),69.81 (0.05),66.31 (-0.60),84.00 (0.46),75.25 (-0.27)
60,Bhayshul Tuten,RB,JAC,79.70 (-1.80),60.40,62.90 (1.20),,47.79 (0.33),50.40 (1.00),51.14 (0.22),53.80 (0.36),62.31 (0.84),67.19 (2.69)
61,Sam LaPorta,TE,DET,66.30 (1.30),76.40,63.90 (1.30),,94.76 (0.82),90.50 (1.10),81.48 (1.83),70.59 (0.68),96.86 (0.90),83.11 (-0.18)
62,Jameson Williams,WR,DET,67.20 (-0.10),51.60,64.70 (-1.00),,56.90 (-0.59),51.80 (-0.20),67.05 (0.17),69.03 (0.14),51.69 (0.04),87.41 (-0.56)
63,DJ Moore,WR,BUF,71.10 (-0.30),59.30,65.30 (0.40),,43.10 (-1.48),54.90 (1.50),59.35 (-0.04),62.11 (2.57),59.53 (1.30),82.41 (1.88)
64,Mike Evans,WR,SF,97.10 (-8.70),57.80,65.70 (-0.50),,55.74 (-1.16),49.40 (-3.10),58.47 (-0.67),68.72 (-3.59),55.82 (0.01),87.97 (-3.21)
65,Jadarian Price,RB,SEA,81.10 (-2.80),70.00 (10.30),65.70 (0.10),,53.81 (1.69),62.10 (0.50),56.22 (0.73),65.91 (1.01),71.98 (1.01),81.92 (1.06)
66,Justin Herbert,QB,LAC,109.50 (-1.20),83.70,67.70 (-1.10),,104.64 (0.86),82.60,78.60 (-0.74),72.54 (-2.09),78.47 (-0.83),24.23 (-0.57)
67,Christian Watson,WR,GB,102.00 (-2.20),68.40,68.50 (1.40),,59.48 (-1.21),57.60 (-0.40),67.66 (2.10),69.05 (0.06),55.44 (0.57),89.10 (-1.94)
68,Rome Odunze,WR,CHI,72.30 (-0.70),64.20,69.00 (0.50),,57.26 (0.97),58.40 (1.40),66.12 (1.67),70.81 (0.80),58.92 (0.43),90.81 (-0.27)
69,Caleb Williams,QB,CHI,92.70 (-1.10),82.90,70.10 (1.50),,100.17 (3.14),73.10 (-1.00),70.67 (-0.77),67.85 (-1.66),73.87 (-0.75),20.22 (0.22)
70,Harold Fannin,TE,CLE,76.70 (0.30),62.60,71.50 (0.10),,74.69 (2.93),102.10 (0.30),78.84 (-0.18),67.08 (-1.36),85.52 (-0.63),80.82 (-1.45)
71,Kyle Pitts,TE,ATL,65.90,71.30,73.70 (0.10),,85.24 (1.45),104.40 (-0.50),84.14,68.98 (-0.86),86.50 (0.56),81.63 (-0.02)
72,Chuba Hubbard,RB,CAR,114.90 (-3.70),74.90,74.10 (-3.30),,82.57 (1.89),88.00 (-5.70),71.93 (-1.15),95.25 (-2.44),78.55 (-1.51),109.85 (-0.53)
73,Dak Prescott,QB,DAL,87.80 (1.70),90.30,75.90 (0.80),,109.24 (-1.05),80.40,75.63 (1.40),73.20 (-1.81),83.11 (-0.57),25.31 (-0.24)
74,Jaylen Warren,RB,PIT,104.60 (-1.80),74.80,76.50 (-0.70),,67.21 (-1.40),70.30 (1.90),64.52 (-0.23),75.47 (0.09),72.12 (-0.05),90.73 (0.65)
75,Carnell Tate,WR,TEN,69.70 (-0.50),62.90,78.00 (-0.30),,64.00 (-1.00),60.40 (-1.10),72.84 (0.55),76.34 (-0.39),64.21 (0.35),94.88 (-0.84)
76,Marvin Harrison,WR,ARI,92.00 (-2.70),75.80,79.70 (-0.30),,75.50 (-2.77),69.20 (-0.80),87.76 (0.89),82.56 (0.03),69.36 (0.51),101.97 (-0.81)
77,Jaxson Dart,QB,NYG,75.70 (-1.20),80.60,82.00 (-3.70),,116.50 (-1.92),101.00 (0.10),94.19 (-1.60),86.21 (-3.07),93.42 (-2.52),32.18 (-0.92)
78,Rhamondre Stevenson,RB,NE,112.40 (-0.10),82.70,82.20 (2.20),,69.79 (1.29),73.20 (3.20),64.24 (-0.58),80.54 (2.43),83.02 (0.17),96.31 (2.21)
79,Alec Pierce,WR,IND,97.80 (-1.90),90.40 (-6.80),83.80 (-2.00),,86.83 (-6.02),86.20 (-4.50),97.94 (0.10),104.50 (-9.16),78.26 (-0.65),123.41 (-12.11)
80,Brian Thomas,WR,JAC,106.10 (-2.60),69.60,84.80 (1.30),,66.29 (-0.14),64.40 (-2.10),85.93 (0.12),84.97 (0.06),71.66 (0.60),103.32 (-2.73)
81,Brandon Aubrey,K,DAL,84.50 (0.70),171.10,85.00 (-0.20),,137.79 (1.17),,,287.10 (5.51),,
82,Trevor Lawrence,QB,JAC,95.80 (-1.00),92.30,85.60 (0.50),,98.79 (1.71),85.60 (0.10),86.81 (-1.09),75.46 (-1.30),82.24 (-0.51),28.44 (-0.68)
83,DK Metcalf,WR,PIT,88.00 (-0.40),74.40,86.00 (0.20),,78.05 (2.87),75.20 (0.90),73.41 (0.87),96.28 (1.90),73.24 (0.18),113.22 (0.05)
84,Rico Dowdle,RB,PIT,110.70 (-2.30),88.10,86.10 (-1.80),,75.24 (1.76),86.70 (0.80),77.26 (-0.12),88.37 (1.99),92.36 (-0.30),104.45 (0.05)
85,Tony Pollard,RB,TEN,90.60 (-1.90),85.60,86.40 (0.90),,76.19 (-0.23),76.70 (-2.00),70.96 (-0.59),81.57 (0.39),82.41 (0.36),97.18 (-0.41)
86,Parker Washington,WR,JAC,102.70,70.20 (13.00),88.40 (5.50),,62.67 (1.64),59.40 (5.00),85.22 (1.78),75.55 (6.98),75.83 (2.19),94.93 (7.41)
87,George Kittle,TE,SF,98.00 (-4.20),97.40,89.30 (1.00),,107.17 (0.02),115.20 (-1.60),103.62 (0.22),85.08 (-2.65),118.87 (0.35),99.28 (-4.07)
88,Los Angeles Rams,DST,LA,96.80 (1.20),115.50,90.90 (1.80),,160.38 (3.58),,,291.68 (5.42),156.98 (1.30),
89,Jordyn Tyson,WR,NO,98.50 (-0.40),63.30 (5.70),91.40 (-0.10),,74.98 (-1.83),63.60 (0.10),84.28 (-0.63),86.17 (1.73),80.35 (0.85),102.56 (0.76)
90,Houston Texans,DST,HOU,90.60 (2.00),119.00,92.00,,154.21 (2.02),,,292.43 (5.55),146.31 (-0.21),
91,Travis Kelce,TE,KC,101.90 (-0.60),107.10,94.80 (0.80),,108.45 (1.17),122.50 (-1.40),101.45 (-0.17),89.04 (-1.64),122.52 (0.31),103.21 (-3.33)
92,Kyle Monangai,RB,CHI,133.30 (-3.40),89.50,97.50 (-1.30),,81.31 (-0.23),98.10 (-1.80),92.17 (-2.31),108.30 (-0.35),93.88 (-1.33),121.20 (1.21)
93,Patrick Mahomes,QB,KC,108.70 (-4.30),100.10,97.50 (-1.70),,131.10 (-2.45),97.00 (-2.30),106.69 (-2.84),90.93 (-2.64),102.23 (-1.88),37.34 (-0.50)
94,Chris Godwin,WR,TB,147.50 (-3.80),92.60,97.90,,74.38 (-2.26),90.00,82.62 (0.49),104.57 (1.29),94.18 (1.45),123.02 (0.82)
95,Brock Purdy,QB,SF,105.30 (-2.30),103.50,97.90 (1.00),,129.98 (-5.63),101.60 (-2.80),99.18 (-2.05),86.31 (-3.98),96.92 (-1.85),34.84 (-1.34)
96,Blake Corum,RB,LA,140.50 (-2.20),98.30,98.60 (-1.00),,84.95 (3.78),91.40 (-0.80),92.70 (-1.14),99.95 (4.26),97.93 (1.26),117.80 (2.04)
97,RJ Harvey,RB,DEN,129.50 (-3.60),86.60 (-18.20),98.90 (-3.00),,73.40 (-0.28),88.50 (-2.00),82.13 (-0.76),96.46 (0.18),80.08 (-1.29),111.08 (-0.40)
98,J.K. Dobbins,RB,DEN,124.70 (-2.60),84.20 (8.30),98.90 (1.40),,87.50 (-3.08),97.10 (0.90),85.75 (-0.04),101.60 (1.59),101.35 (0.52),118.41 (1.14)
99,Courtland Sutton,WR,DEN,85.80 (0.10),77.90,99.20 (-1.90),,76.12 (-3.00),84.50 (-0.90),78.06 (-0.59),102.89 (0.12),75.00 (0.23),119.60 (-0.98)
100,Dalton Kincaid,TE,BUF,136.90 (-0.70),97.10,100.10 (-0.30),,128.83 (-0.95),125.10 (1.40),113.25 (-1.63),106.12 (-0.20),123.73 (0.58),116.91 (-1.45)
101,Matthew Stafford,QB,LA,78.80 (-0.40),115.20,100.20 (0.30),,133.12 (-8.24),107.10 (-1.00),106.54 (-0.08),95.68 (-3.26),93.82 (-0.90),39.74 (-0.90)
102,Denver Broncos,DST,DEN,89.40 (0.10),132.80,100.70 (0.60),,175.17 (6.83),,,296.29 (4.14),166.05 (-0.46),
103,Bo Nix,QB,DEN,91.10 (2.60),118.70,101.10 (0.30),,127.90 (2.72),108.20 (-1.20),111.47 (-2.47),96.53 (-2.13),105.10 (-1.48),38.61 (0.30)
104,Makai Lemon,WR,PHI,117.70 (-7.60),88.70 (-12.10),104.10 (-4.90),,100.21 (-5.17),78.70 (-5.70),109.44 (0.33),119.56 (-7.03),94.12 (-0.62),137.42 (-10.48)
105,Michael Wilson,WR,ARI,106.20 (1.30),80.20,104.90 (-2.20),,77.48 (3.67),92.70 (3.30),97.89 (1.65),113.24 (2.19),86.75 (0.38),124.49 (1.71)
106,Dallas Goedert,TE,PHI,101.70 (-0.70),109.10,106.20 (-0.80),,134.55 (-1.28),134.70 (-0.40),118.54 (1.10),97.43 (-0.34),130.16 (0.28),112.65 (-0.85)
107,Seattle Seahawks,DST,SEA,107.30 (-0.20),124.20,106.40 (-0.30),,176.05 (1.22),,,297.08 (5.33),161.92 (-0.64),
108,Jonathon Brooks,RB,CAR,129.60 (-0.30),138.00,107.30 (3.20),,69.93 (3.72),86.00 (6.90),97.04 (2.26),81.48 (2.16),107.20 (4.54),102.25 (3.41)
109,Quentin Johnston,WR,LAC,144.40 (-0.80),102.60,108.50 (4.00),,91.48 (-3.75),74.10 (1.00),107.72 (1.21),98.32 (1.75),88.85 (1.50),109.83 (5.57)
110,Isaiah Likely,TE,NYG,129.80 (-1.40),117.30,108.70 (-0.30),,101.45 (-0.53),126.30 (1.80),122.26 (2.99),87.64 (2.45),126.90 (1.02),101.19 (2.63)
111,Kyler Murray,QB,MIN,150.80 (-1.20),142.20,110.80 (-1.30),,148.12 (-1.74),114.50 (-2.30),118.66 (-2.78),106.76 (-2.67),119.95 (-1.90),46.82 (1.31)
112,Jake Ferguson,TE,DAL,112.40 (-2.20),104.00,113.90 (-1.10),,130.79 (-2.67),133.00 (-1.90),116.79 (-0.46),103.53 (0.19),119.24 (-0.38),110.44 (0.19)
113,Mark Andrews,TE,BAL,123.20 (-1.50),110.70,114.10 (0.30),,131.79 (-2.64),129.30 (-3.50),114.99 (-1.32),106.41 (-1.43),136.28 (0.32),114.38 (1.33)
114,Ricky Pearsall,WR,SF,170.20 (-21.40),400.00,114.50 (-1.90),,125.33 (-24.45),,,320.04 (-112.98),124.58 (-21.07),298.51 (-99.61)
115,Jared Goff,QB,DET,139.50 (1.00),122.00,115.10 (0.60),,134.17 (-0.02),110.10 (-0.30),116.88 (0.04),97.19 (-2.43),101.63 (-1.06),39.75 (0.52)
116,Kenneth Gainwell,RB,TB,123.20 (-1.00),106.90,115.50 (-1.60),,90.26 (-3.18),108.20 (-0.60),80.81 (-1.41),95.12 (1.12),,113.32 (-0.06)
117,Josh Downs,WR,IND,123.50 (5.40),108.40 (16.70),117.40 (3.30),,92.88 (4.43),81.90 (6.30),95.16 (1.03),106.61 (3.77),106.14 (2.57),123.40 (2.01)
118,Aaron Rodgers,QB,PIT,169.00 (0.40),,117.40 (0.50),,268.00,177.20 (-0.40),194.96 (-1.43),194.60 (-5.31),204.33 (-2.22),92.16 (2.43)
119,Jacory Croskey-Merritt,RB,WAS,142.20 (-0.70),114.90,117.60 (-0.40),,98.81 (5.38),110.40 (8.30),107.16 (-0.18),113.53 (7.53),125.03 (1.65),126.57 (9.03)
120,Jordan Addison,WR,MIN,123.60 (-1.70),100.70,118.80 (1.10),,105.81 (-1.50),90.10 (-1.60),106.66 (-0.08),127.52 (-2.14),106.13 (0.15),139.97 (-2.40)
121,Ka'imi Fairbairn,K,HOU,133.90 (1.20),192.00,119.70 (0.90),,181.14 (0.63),,,303.51 (4.72),,
122,Rachaad White,RB,WAS,128.30 (-3.10),127.20,119.80,,90.52 (-2.14),112.70 (-4.00),101.56 (-1.20),101.96 (-3.05),109.39 (1.52),118.71 (-3.64)
123,Michael Pittman,WR,PIT,91.10 (-0.70),102.90,120.10 (0.10),,88.10 (-1.75),99.00 (0.20),90.26 (-0.14),104.44 (0.75),89.63 (1.01),122.55 (-0.54)
124,Jayden Reed,WR,GB,140.80 (-1.80),116.00,120.50 (1.10),,101.21 (-2.02),80.40 (2.90),101.98 (0.32),117.48 (1.40),108.18 (1.39),130.23 (0.61)
125,Jordan Mason,RB,MIN,157.00 (-4.60),119.20 (11.30),120.60 (0.30),,90.88 (0.89),106.10 (5.00),100.72 (0.30),109.33 (3.90),116.24 (1.66),124.65 (2.58)
126,Stefon Diggs,WR,WAS,141.70 (24.50),125.90,120.90 (11.60),,111.31 (17.27),102.40 (30.50),124.91 (13.49),118.06 (24.18),137.08 (3.45),133.41 (19.75)
127,Aaron Jones,RB,MIN,123.40 (-2.40),108.80,121.10 (-2.20),,114.14 (-1.22),125.40 (-2.70),97.98 (-1.19),121.28 (-0.36),130.52 (-0.03),134.23 (-0.95)
128,Fernando Mendoza,QB,LV,166.90 (-0.10),169.50,122.10 (0.70),,251.00 (5.00),186.60 (-4.70),197.88 (-4.19),199.72 (-7.35),203.71 (-4.98),95.69 (-2.89)
129,Sam Darnold,QB,SEA,163.10 (0.40),165.30,123.40 (0.40),,199.91 (-8.58),142.20,152.28 (-1.90),136.48 (-4.54),145.32 (-2.68),62.46 (1.82)
130,Philadelphia Eagles,DST,PHI,134.40 (0.10),129.00,123.40 (0.40),,191.05 (6.03),,,306.14 (4.10),188.30 (0.62),
131,Cameron Dicker,K,LAC,106.00 (2.40),172.20,123.60 (0.70),,177.62 (0.61),,,301.13 (3.90),,
132,Bryce Young,QB,CAR,168.20 (0.10),194.20,123.80 (1.20),,237.72 (-2.32),161.20 (-0.80),181.15 (-3.32),179.38 (-5.99),177.50 (-4.50),79.02 (0.58)
133,Brian Robinson,RB,ATL,166.60 (1.30),123.80,124.40 (0.50),,136.62 (0.88),181.30 (-6.10),162.87 (-2.55),173.64 (-1.24),184.12 (0.51),180.17 (0.67)
134,Jordan Love,QB,GB,159.40,124.80,124.70 (0.40),,168.26 (-11.34),115.50 (-2.40),132.34 (-3.09),114.43 (-2.17),120.20 (-1.79),50.37 (-0.60)
135,Malik Willis,QB,MIA,167.20 (-0.40),137.80,124.80 (-1.40),,170.50 (4.54),135.50 (-0.80),148.55 (-3.11),122.19 (-0.89),143.10 (-1.79),58.89 (0.96)
136,David Njoku,TE,LAC,169.60 (0.30),172.40,125.30 (-0.20),,188.87 (9.90),211.40 (1.50),229.64 (3.96),202.98 (1.87),239.28 (-2.42),190.58 (-2.31)
137,Pat Freiermuth,TE,PIT,168.90,,125.40 (0.80),,255.40 (-16.69),193.80,208.36 (6.98),178.37 (1.28),232.68 (-1.03),172.54 (1.95)
138,Isaac TeSlaa,WR,DET,170.30,198.60,126.00 (-0.90),,192.61 (-11.19),171.50 (-2.30),190.88 (2.48),212.34 (-9.63),187.08 (1.06),209.78 (-7.54)
139,Jason Myers,K,SEA,116.20 (1.70),175.50,126.00 (0.60),,199.79 (1.36),,,303.14 (3.77),,
140,Oronde Gadsden,TE,LAC,169.80 (-0.80),94.70,126.10 (-0.90),,184.85 (-8.97),160.90 (-10.10),139.14 (1.12),142.09 (-5.15),142.53 (-3.78),147.78 (-6.22)
141,Cam Ward,QB,TEN,167.40 (-0.30),165.90,126.10 (1.70),,217.30 (-1.51),144.80 (-3.90),170.43 (-0.15),153.58 (-2.14),152.23 (-2.40),71.33 (1.95)
142,C.J. Stroud,QB,HOU,166.00 (0.10),163.40,126.20 (0.60),,214.97 (-13.80),145.60 (-1.10),160.57 (-2.62),153.26 (-5.28),149.63 (-3.62),66.61 (0.71)
143,James Conner,RB,ARI,170.40 (-0.40),152.20,126.40 (0.70),,198.36 (1.99),214.60,164.11 (1.15),243.69 (-12.26),217.25 (-3.92),257.43 (-13.03)
144,AJ Barner,TE,SEA,168.80 (-0.10),150.10,126.50 (1.30),,234.15 (-14.59),175.30 (-0.40),188.25 (4.00),168.31 (-3.43),198.36 (-1.69),168.82 (-2.11)
