#,Player,Position,Team,ESPN,Sleeper,Yahoo,CBS,RTSports,Underdog,Guillotine,FFPC,NFFC,SuperFlex
800,Raheem Mostert,RB,Free Agent,170.00,,,,,,,,273.09 (0.02),
801,Arian Smith,WR,NYJ,170.00,,,,,,,,273.10 (0.02),
802,Tyler Conklin,TE,DET,170.00,,,,,,,,273.13 (0.03),
803,Rashod Bateman,WR,BAL,170.80,232.70,,,248.67 (-9.00),201.10 (2.00),214.17 (5.89),221.93 (8.30),261.59 (3.89),210.44 (1.54)
804,Pierre Strong,RB,GB,170.00,,,,,,,,273.15 (0.03),
805,Tyler Badie,RB,DEN,170.10,,,,,,,,273.08 (0.02),
806,Jake Bobo,WR,SEA,170.00 (-0.10),,,,,,,,273.18 (0.03),
807,Frank Gore,RB,BUF,170.00,,,,,,,,273.19 (0.03),
808,Jahdae Walker,WR,CHI,169.90,,,,,,,,273.32 (-0.05),
809,Lan Larison,RB,NE,170.00,,,,,,,,273.26 (-0.07),
810,Tanner McKee,QB,PHI,170.00,,,,,,,,273.26 (0.05),
811,Jimmy Garoppolo,QB,Free Agent,170.00,,,,,,,,273.27 (0.05),
812,Raheim Sanders,RB,CLE,170.00,,,,,,,,273.40 (0.07),
813,Kenny McIntosh,RB,Free Agent,170.00,,,,,,,,273.42 (0.08),
814,Jam Miller,RB,NE,170.00,,,,,,,,273.44 (0.01),
815,Jacob Cowing,WR,SF,170.00,,,,,,,,273.69 (0.12),
816,Zonovan Knight,RB,ARI,170.10,,,,,,,,273.62 (0.11),
817,Kyle Williams,WR,NE,169.90,222.10,,,,216.00,,,280.15 (-0.28),
818,Gardner Minshew,QB,ARI,170.00,,,,,,,,274.15 (0.12),
819,Marvin Mims,WR,DEN,170.00 (0.10),219.50,,,,215.90,,,284.28 (0.33),
820,Darnell Mooney,WR,NYG,170.60 (-0.20),221.10,,,246.20 (-33.77),208.40 (-7.60),215.54 (-3.10),263.18 (-18.91),232.78 (-0.79),276.39 (-34.43)
821,Samaje Perine,RB,CIN,170.70 (0.10),,,,234.19 (-7.65),215.30 (0.30),201.38 (1.76),242.49 (4.65),274.03 (0.97),244.29 (11.92)
822,Emanuel Wilson,RB,SEA,170.30 (0.20),203.30,,,224.78 (-0.93),215.90,208.72 (-4.50),329.95 (-7.73),208.48 (-5.08),336.84 (0.56)
823,Shedeur Sanders,QB,CLE,169.20 (0.20),225.80,,,,213.30 (-1.10),236.06 (1.35),239.96 (-1.10),259.42 (-0.22),151.64 (1.62)
824,Troy Franklin,WR,DEN,170.70 (0.30),184.70,,,239.86 (-18.86),214.30 (-0.60),235.36 (2.31),303.40 (-1.42),223.16 (-1.84),293.46 (4.38)
825,Pat Bryant,WR,DEN,170.90 (0.30),222.50,,,244.44 (-1.71),191.10 (14.20),215.68 (2.57),263.35 (38.34),263.54 (3.76),251.42 (32.53)
826,Kendre Miller,RB,NO,170.20 (-0.10),224.80,,,,216.00,241.00,,274.20 (-0.11),
827,Cooper Kupp,WR,SEA,168.80 (0.10),235.20,,,257.00 (-23.29),209.50 (-0.60),205.72 (3.67),260.00 (4.62),242.42 (-0.10),246.16 (-2.04)
828,Kirk Cousins,QB,LV,170.00 (0.10),,,,258.00 (-16.00),215.10 (-0.30),209.77 (-0.67),254.48 (-3.31),255.51 (-0.45),159.98 (2.62)
829,Keenan Allen,WR,IND,169.90 (0.10),233.20,,,252.17 (-27.04),206.90 (0.20),222.79 (4.38),239.13 (10.85),266.90 (1.49),224.38 (0.08)
830,Brandon Aiyuk,WR,SF,170.80 (-0.10),190.20,,,252.33 (-8.93),215.80 (-0.20),211.57 (-4.12),339.83 (-5.23),221.03 (-7.92),336.10 (-12.84)
